content_id,title,source,url,topic,subtopic,difficulty,format,summary,learning_objective,prerequisites,risk_level,is_investment_related
C001,Cómo elaborar un presupuesto,Finanzas para Todos,https://www.finanzasparatodos.es/como-elaborar-un-presupuesto,planificación,presupuesto,básico,artículo web,Aprende a organizar tus ingresos y gastos para tener unas finanzas equilibradas,Saber planificar ingresos y gastos mensuales,C01,bajo,no
C002,Cómo está tu salud financiera,Finanzas para Todos,https://www.finanzasparatodos.es/como-esta-tu-salud-financiera,planificación,salud financiera,básico,artículo web,Evalúa tu situación financiera con una herramienta rápida,Diagnosticar puntos débiles en las finanzas personales,C01,bajo,no
C003,Planificación financiera: paga extra y devolución de la renta,Finanzas para Todos,https://www.finanzasparatodos.es/planificaci-n-financiera-antes-de-gastar-qu-hacer-con-la-paga-extra-o-la-devoluci-n-de-la-renta,planificación,planificación general,básico,nota de prensa,Recomendaciones para aprovechar ingresos extraordinarios,Decidir qué hacer con ingresos extra,C01;C02,bajo,no
C004,10 consejos de inversión,Finanzas para Todos,https://www.finanzasparatodos.es/system/cms_multimedia/cms_medias/files/000/000/313/original/10_consejos_inversion.pdf?1624983738,inversión,conceptos básicos,intermedio,PDF,Guía con principios básicos para empezar a invertir,Conocer los fundamentos antes de invertir,C12;C13;C14,medio,si
C005,7 consejos para la jubilación,Finanzas para Todos,https://www.finanzasparatodos.es/system/cms_multimedia/cms_medias/files/000/000/316/original/7_consejos_jubilacion.pdf?1624983738,planificación,jubilación,intermedio,PDF,Recomendaciones para preparar la jubilación con tiempo,Planificar el ahorro a largo plazo para la jubilación,C16;C02,medio,no
C006,8 productos bancarios,Finanzas para Todos,https://www.finanzasparatodos.es/system/cms_multimedia/cms_medias/files/000/000/398/original/8_productos_bancarios.pdf?1627554360,cuentas bancarias,productos,básico,PDF,Panorama de los productos bancarios más comunes,"Diferenciar entre cuentas, depósitos y otros productos",C08,bajo,no
C007,6 consejos sobre vivienda,Finanzas para Todos,https://www.finanzasparatodos.es/system/cms_multimedia/cms_medias/files/000/000/397/original/6_consejos_vivienda.pdf?1627554360,hipotecas,vivienda,intermedio,PDF,Recomendaciones financieras al comprar o alquilar vivienda,"Decidir entre alquilar y comprar, evaluar hipoteca",C01;C10,medio,no
C008,5 consejos sobre endeudamiento,Finanzas para Todos,https://www.finanzasparatodos.es/system/cms_multimedia/cms_medias/files/000/000/399/original/5_endeudamiento.pdf?1627554360,deuda,endeudamiento,básico,PDF,Cómo evitar sobreendeudamiento y gestionar deudas,Reconocer señales de sobreendeudamiento,C03;C10,bajo,no
C009,Cómo gestionar mis deudas,Finanzas para Todos,https://www.finanzasparatodos.es/c-mo-gestionar-mis-deudas,deuda,gestión,básico,artículo web,Pautas para organizar y reducir deudas existentes,Aprender a priorizar deudas y renegociar,C03,bajo,no
C010,Cómo preparar mi jubilación,Finanzas para Todos,https://www.finanzasparatodos.es/como-preparar-mi-jubilacion,planificación,jubilación,intermedio,artículo web,Información sobre los principales instrumentos de ahorro a largo plazo,Comparar planes de pensiones y otros productos,C16;C02,medio,no
C011,Cuidado del entorno: el banco y yo,Finanzas para Todos,https://www.finanzasparatodos.es/como-cuidar-tu-entorno-personal-y-financiero-banco-yo,cuentas bancarias,relación con el banco,básico,artículo web,Relación con la entidad bancaria derechos y obligaciones,Conocer derechos como cliente bancario,C08;C18,bajo,no
C012,Cuidado del entorno: el hogar (hipoteca),Finanzas para Todos,https://www.finanzasparatodos.es/como-cuidar-tu-entorno-personal-y-financiero-hogar/#hipoteca,hipotecas,contratación,avanzado,artículo web,Decisiones financieras asociadas a la compra de vivienda,Entender los elementos clave de una hipoteca,C10;C19,medio,no
C013,Cuidado del entorno: la familia,Finanzas para Todos,https://www.finanzasparatodos.es/como-cuidar-tu-entorno/#familia,planificación,economía familiar,intermedio,artículo web,Gestión financiera en el ámbito familiar,Coordinar finanzas en pareja o unidad familiar,C01;C16,bajo,no
C014,Cómo invertir tu dinero,Finanzas para Todos,https://www.finanzasparatodos.es/c-mo-invertir-tu-dinero,inversión,introducción,intermedio,artículo web,Introducción a los principales productos de inversión,Distinguir entre productos de ahorro e inversión,C02;C12;C13,medio,si
C015,Glosario de términos financieros,Finanzas para Todos,https://www.finanzasparatodos.es/glosario,planificación,terminología,básico,glosario web,Definiciones claras de términos financieros habituales,Comprender la terminología financiera,,bajo,no
C016,Calculadoras y herramientas,Finanzas para Todos,https://www.finanzasparatodos.es/herramientas/mis-ahorros,planificación,herramientas,básico,herramienta interactiva,"Calculadoras de ahorro, hipoteca y préstamos",Simular decisiones financieras,C01;C19,bajo,no
C017,"Cuentas corrientes, depósitos a la vista y libretas de ahorro",Portal Cliente Bancario BdE,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/cuentasdepositos/cuentascorriente/,cuentas bancarias,cuentas,básico,artículo web,Características y diferencias entre cuentas y libretas de ahorro,Elegir el producto de cuenta adecuado,C08,bajo,no
C018,Depósitos a plazo,Portal Cliente Bancario BdE,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/cuentasdepositos/depositosplazo/,cuentas bancarias,depósitos,básico,artículo web,Qué es un depósito a plazo fijo y cómo funciona,Entender el producto de depósito a plazo,C08;C05,bajo,no
C019,Tarjetas de crédito y débito,Portal Cliente Bancario BdE,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/serviciospago/tarjetas/,tarjetas,productos,intermedio,artículo web,Diferencias entre tarjetas de crédito y débito y sus costes,Decidir qué tarjeta usar y cuándo,C09;C18,medio,no
C020,Tarjeta revolving: simulador de cuota,Portal Cliente Bancario BdE,https://clientebancario.bde.es/pcb/es/menu-horizontal/podemosayudarte/simuladores/calculo_cuota_tarjeta_revolving.html,tarjetas,crédito revolving,avanzado,simulador,Calcula la cuota y el coste real de una tarjeta revolving,Identificar el elevado coste de las revolving,C09;C19,alto,no
C021,Préstamo personal y crédito al consumo,Portal Cliente Bancario BdE,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/financiacion/prestamopersonal/,préstamos,crédito al consumo,intermedio,artículo web,Características de préstamos personales y al consumo,Comparar ofertas de préstamos personales,C10;C19,medio,no
C022,Deudores hipotecarios en dificultades,Portal Cliente Bancario BdE,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/financiacion/deudores-hipotecarios-sin-recursos/,hipotecas,dificultades de pago,avanzado,artículo web,Opciones para personas con hipoteca que no pueden pagar,Conocer mecanismos de protección del deudor hipotecario,C11,medio,no
C023,La hipoteca: guía completa,Portal Cliente Bancario BdE,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/financiacion/hipotecas/,hipotecas,contratación,avanzado,artículo web,"Elementos clave de una hipoteca: capital, plazo, tipo de interés, TAE",Entender los componentes de una hipoteca,C10;C19,medio,no
C024,eliBAN: dudas con la hipoteca,Portal Cliente Bancario BdE,https://clientebancario.bde.es/pcb/es/blog/eliban-te-aclara-algunas-de-tus-dudas-con-la-hipoteca.html,hipotecas,blog,avanzado,artículo blog,Respuestas a dudas frecuentes sobre hipotecas,Resolver dudas prácticas sobre hipotecas,C11,medio,no
C025,Comisiones bancarias,Portal Cliente Bancario BdE,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/relacionados/comisiones/,cuentas bancarias,comisiones,básico,artículo web,Tipos de comisiones que aplican las entidades,Identificar comisiones en extractos y contratos,C08;C18,bajo,no
C026,Tipos de interés,Portal Cliente Bancario BdE,https://clientebancario.bde.es/pcb/es/menu-horizontal/productosservici/relacionados/tiposinteres/,interés,conceptos,intermedio,artículo web,Qué son los tipos de interés y cómo afectan a productos de ahorro y crédito,Diferenciar entre tipo nominal y TAE,C05;C19,bajo,no
