user_id,rank,content_id,predicted_score,title,topic,difficulty
U0001,1,C072,0.571,Calculadora de gestión de deudas,deuda,básico
U0001,2,C009,0.5281,Cómo gestionar mis deudas,deuda,básico
U0001,3,C088,0.4895,Qué es la inflación y cómo nos afecta,inflación,básico
U0001,4,C008,0.4799,5 consejos sobre endeudamiento,deuda,básico
U0001,5,C089,0.4701,Cómo afectan a mi dinero la inflación y los tipos de interés,inflación,intermedio
U0002,1,C072,0.6368,Calculadora de gestión de deudas,deuda,básico
U0002,2,C028,0.6081,Protegerte contra el fraude,fraude,básico
U0002,3,C088,0.5901,Qué es la inflación y cómo nos afecta,inflación,básico
U0002,4,C065,0.5807,Chiringuitos financieros,fraude,básico
U0002,5,C002,0.5764,Cómo está tu salud financiera,planificación,básico
U0003,1,C072,0.6733,Calculadora de gestión de deudas,deuda,básico
U0003,2,C009,0.6519,Cómo gestionar mis deudas,deuda,básico
U0003,3,C015,0.6453,Glosario de términos financieros,planificación,básico
U0003,4,C088,0.604,Qué es la inflación y cómo nos afecta,inflación,básico
U0003,5,C025,0.5982,Comisiones bancarias,cuentas bancarias,básico
U0004,1,C072,0.6661,Calculadora de gestión de deudas,deuda,básico
U0004,2,C047,0.651,Ahorro automático: la regla del 50/30/20,ahorro,básico
U0004,3,C043,0.6461,Plan de Educación Financiera 2022-2025,planificación,básico
U0004,4,C018,0.6373,Depósitos a plazo,cuentas bancarias,básico
U0004,5,C009,0.6257,Cómo gestionar mis deudas,deuda,básico
U0005,1,C072,0.5904,Calculadora de gestión de deudas,deuda,básico
U0005,2,C053,0.5454,Protección de datos en operaciones financieras,fraude,básico
U0005,3,C009,0.533,Cómo gestionar mis deudas,deuda,básico
U0005,4,C088,0.516,Qué es la inflación y cómo nos afecta,inflación,básico
U0005,5,C008,0.5159,5 consejos sobre endeudamiento,deuda,básico
U0006,1,C030,0.6052,La detective Sara Gómez investiga el fraude por internet,fraude,básico
U0006,2,C072,0.5644,Calculadora de gestión de deudas,deuda,básico
U0006,3,C042,0.5474,Cómo detectar un chiringuito financiero,fraude,básico
U0006,4,C067,0.5471,Del like a la inversión,fraude,básico
U0006,5,C066,0.5045,Finfluencers: cómo actuar con responsabilidad,fraude,básico
U0007,1,C072,0.5731,Calculadora de gestión de deudas,deuda,básico
U0007,2,C009,0.5481,Cómo gestionar mis deudas,deuda,básico
U0007,3,C088,0.5267,Qué es la inflación y cómo nos afecta,inflación,básico
U0007,4,C008,0.526,5 consejos sobre endeudamiento,deuda,básico
U0007,5,C011,0.5051,Cuidado del entorno: el banco y yo,cuentas bancarias,básico
U0008,1,C072,0.5571,Calculadora de gestión de deudas,deuda,básico
U0008,2,C009,0.504,Cómo gestionar mis deudas,deuda,básico
U0008,3,C073,0.5015,Calculadora de ahorro mensual,ahorro,básico
U0008,4,C053,0.4972,Protección de datos en operaciones financieras,fraude,básico
U0008,5,C008,0.467,5 consejos sobre endeudamiento,deuda,básico
U0009,1,C053,0.5778,Protección de datos en operaciones financieras,fraude,básico
U0009,2,C072,0.5509,Calculadora de gestión de deudas,deuda,básico
U0009,3,C009,0.5413,Cómo gestionar mis deudas,deuda,básico
U0009,4,C071,0.4945,Calculadora de presupuesto personal,planificación,básico
U0009,5,C088,0.4786,Qué es la inflación y cómo nos afecta,inflación,básico
U0010,1,C072,0.5601,Calculadora de gestión de deudas,deuda,básico
U0010,2,C009,0.5207,Cómo gestionar mis deudas,deuda,básico
U0010,3,C088,0.4798,Qué es la inflación y cómo nos afecta,inflación,básico
U0010,4,C008,0.4699,5 consejos sobre endeudamiento,deuda,básico
U0010,5,C089,0.4564,Cómo afectan a mi dinero la inflación y los tipos de interés,inflación,intermedio
U0011,1,C072,0.6473,Calculadora de gestión de deudas,deuda,básico
U0011,2,C073,0.6391,Calculadora de ahorro mensual,ahorro,básico
U0011,3,C009,0.6328,Cómo gestionar mis deudas,deuda,básico
